Total threads number is 1
Thread test/fileTest2 is executing.
PC:0x000 Instruction:0x0c00003c
PC:0x004 Instruction:0x00000000
PC:0x0f0 Instruction:0x27bdff60
PC:0x0f4 Instruction:0xafbf009c
PC:0x0f8 Instruction:0xafbe0098
PC:0x0fc Instruction:0x0c000038
PC:0x100 Instruction:0x03a0f021
PC:0x0e0 Instruction:0x03e00008
PC:0x0e4 Instruction:0x00000000
PC:0x104 Instruction:0x27c20010
PC:0x108 Instruction:0x27c30010
PC:0x10c Instruction:0x3c020000
PC:0x110 Instruction:0x24420310
PC:0x114 Instruction:0x88440003
PC:0x118 Instruction:0x98440000
PC:0x11c Instruction:0x88450007
PC:0x120 Instruction:0x98450004
PC:0x124 Instruction:0x80460008
PC:0x128 Instruction:0x80470009
PC:0x12c Instruction:0xa8640003
PC:0x130 Instruction:0xb8640000
PC:0x134 Instruction:0xa8650007
PC:0x138 Instruction:0xb8650004
PC:0x13c Instruction:0xa0660008
PC:0x140 Instruction:0xa0670009
PC:0x144 Instruction:0x8044000a
PC:0x148 Instruction:0x00000000
PC:0x14c Instruction:0xa064000a
PC:0x150 Instruction:0x2402000a
PC:0x154 Instruction:0xafc2002c
PC:0x158 Instruction:0x3c040000
PC:0x15c Instruction:0x0c00001c
PC:0x160 Instruction:0x2484031c
PC:0x070 Instruction:0x24020005
PC:0x074 Instruction:0x0000000c
PC:0x078 Instruction:0x03e00008
PC:0x07c Instruction:0x00000000
PC:0x164 Instruction:0xafc20028
PC:0x168 Instruction:0x8fc20028
PC:0x16c Instruction:0x00000000
PC:0x170 Instruction:0x04410004
PC:0x174 Instruction:0x00000000
PC:0x184 Instruction:0x27c40010
PC:0x188 Instruction:0x8fc5002c
PC:0x18c Instruction:0x0c000020
PC:0x190 Instruction:0x00000000
PC:0x080 Instruction:0x24020006
PC:0x084 Instruction:0x0000000c
PC:0x088 Instruction:0x03e00008
PC:0x08c Instruction:0x00000000
PC:0x194 Instruction:0xafc20024
PC:0x198 Instruction:0x8fc20024
PC:0x19c Instruction:0x8fc3002c
PC:0x1a0 Instruction:0x00000000
PC:0x1a4 Instruction:0x10430004
PC:0x1a8 Instruction:0x00000000
PC:0x1b8 Instruction:0x0c000028
PC:0x1bc Instruction:0x00000000
PC:0x0a0 Instruction:0x24020008
PC:0x0a4 Instruction:0x0000000c
PC:0x0a8 Instruction:0x03e00008
PC:0x0ac Instruction:0x00000000
PC:0x1c0 Instruction:0xafc20028
PC:0x1c4 Instruction:0x8fc20028
PC:0x1c8 Instruction:0x24030001
PC:0x1cc Instruction:0x10430004
PC:0x1d0 Instruction:0x00000000
PC:0x1e0 Instruction:0x3c040000
PC:0x1e4 Instruction:0x0c00001c
PC:0x1e8 Instruction:0x2484031c
PC:0x070 Instruction:0x24020005
PC:0x074 Instruction:0x0000000c
PC:0x078 Instruction:0x03e00008
PC:0x07c Instruction:0x00000000
PC:0x1ec Instruction:0xafc20028
PC:0x1f0 Instruction:0x8fc20028
PC:0x1f4 Instruction:0x00000000
PC:0x1f8 Instruction:0x04410004
PC:0x1fc Instruction:0x00000000
PC:0x20c Instruction:0x27c20030
PC:0x210 Instruction:0x00402021
